Resume,Category
"Experienced Python developer with knowledge in data analysis, machine learning, and deep learning. Worked on Pandas, NumPy, and Scikit-learn.",Data Scientist
"Skilled front-end web developer with expertise in HTML, CSS, JavaScript, and ReactJS. Created responsive designs and interactive components.",Web Developer
"Data Scientist with experience in building ML models, performing data visualization with Seaborn and Matplotlib, and deploying models using Flask.",Data Scientist
"Human Resources specialist with 5 years of experience in recruitment, employee engagement, and HR policies.",HR
Developed REST APIs using Django. Passionate about backend development and database management.,Web Developer
"Proficient in Excel, Power BI, and SQL. Experienced in business intelligence and data reporting.",Data Analyst
Worked on natural language processing projects using NLTK and spaCy. Built resume classifiers and chatbots.,Data Scientist
"Graphic designer skilled in Adobe Photoshop, Illustrator, and Figma. Created branding materials and social media posts.",Graphic Designer
Built recommender systems using collaborative filtering. Hands-on with TensorFlow and Keras for deep learning tasks.,Data Scientist
"Managed payroll systems, organized training sessions, and handled employee grievances in HR department.",HR
